seat_comfort,seat_cleanliness,flight_attendant_courtesy,flight_attendant_attentiveness,food_quality,was_flight_delayed,delay_minutes,delay_handling,overall_customer_satisfaction
5,5,2,5,3,YES,106,2,6
5,5,1,2,5,YES,114,4,9
3,2,4,2,5,NO,,,6
2,3,2,4,3,YES,26,2,4
5,3,5,5,1,NO,,,8
3,3,5,3,3,YES,83,5,9
2,4,3,3,3,YES,90,2,4
2,4,3,3,4,YES,27,5,4
3,5,4,3,3,YES,95,4,8
3,4,4,2,1,YES,83,5,10
3,5,4,4,4,YES,63,5,8
4,2,1,3,3,YES,47,2,4
4,2,5,5,1,YES,73,4,10
3,3,1,4,4,YES,95,5,8
5,1,5,2,4,YES,101,2,8
4,5,5,4,4,NO,,,8
4,5,2,5,4,YES,46,5,9
1,2,5,1,3,YES,59,3,6
5,1,2,4,2,YES,90,4,9
4,2,1,4,1,YES,70,4,10
1,1,2,5,3,NO,,,2
3,5,5,4,4,NO,,,8
5,4,5,3,3,NO,,,8
1,5,1,5,5,YES,107,4,9
1,5,2,4,5,NO,,,4
3,5,2,3,1,NO,,,4
3,4,1,3,5,YES,70,5,8
2,3,4,4,2,YES,119,4,9
4,3,1,2,1,NO,,,4
5,3,1,2,1,YES,95,3,4
1,5,4,1,4,YES,6,2,4
3,4,4,3,2,YES,16,5,6
4,2,4,5,3,NO,,,6
5,3,1,3,1,NO,,,4
1,4,2,2,4,YES,1,3,4
3,3,4,1,5,NO,,,6
1,5,5,1,4,YES,96,5,9
3,1,3,1,2,YES,75,4,10
1,2,2,5,2,NO,,,2
4,1,2,5,2,NO,,,4
4,2,5,2,3,YES,21,2,8
5,1,1,5,5,YES,35,4,8
2,2,4,4,4,YES,87,2,6
5,4,5,3,5,YES,89,4,10
4,3,2,1,4,NO,,,6
1,4,2,5,3,YES,3,2,3
2,2,3,5,5,YES,113,3,6
1,3,1,3,5,YES,80,4,8
1,4,2,2,1,YES,16,5,2
2,4,5,2,2,YES,109,5,10
2,2,3,2,1,YES,38,4,9
2,1,2,5,5,YES,114,5,10
5,5,3,2,1,YES,120,4,9
4,1,5,1,1,YES,95,3,6
1,4,3,2,2,YES,16,5,4
4,5,4,1,3,YES,35,5,9
2,2,2,1,5,YES,119,4,8
3,1,4,4,4,NO,,,6
2,2,3,4,2,NO,,,4
3,2,2,4,4,YES,17,2,4
2,5,2,1,3,YES,64,5,8
3,3,3,1,5,NO,,,6
4,3,3,1,2,NO,,,6
3,3,5,4,3,NO,,,6
2,3,5,5,2,YES,101,2,6
1,1,3,5,3,NO,,,4
2,4,2,1,4,NO,,,4
1,4,4,1,4,YES,95,4,9
3,3,4,4,4,YES,89,3,6
2,5,4,1,5,YES,79,3,6
5,4,1,2,4,YES,29,2,6
2,2,4,4,3,NO,,,6
2,5,3,2,1,YES,62,5,10
2,2,3,2,2,YES,55,2,5
2,2,1,3,5,YES,49,3,4
5,5,4,1,3,YES,54,3,8
5,2,3,4,4,YES,1,5,8
5,5,1,2,5,YES,105,3,6
4,3,5,2,2,YES,53,4,8
4,5,4,1,5,YES,1,3,8
1,5,2,3,4,YES,46,2,5
3,1,2,5,5,YES,58,4,8
3,4,5,2,3,YES,29,4,6
5,5,3,1,3,YES,70,2,6
2,3,2,4,2,NO,,,4
3,2,4,4,2,NO,,,6
3,3,5,4,4,NO,,,8
3,3,5,4,3,YES,113,4,8
3,3,2,4,5,YES,91,5,9
4,2,4,1,2,YES,93,2,6
3,3,3,4,4,NO,,,6
1,4,1,3,2,YES,110,3,3
3,3,5,2,2,NO,,,6
2,4,5,5,4,YES,84,5,9
4,4,5,1,1,NO,,,6
2,3,4,3,2,YES,2,4,4
1,5,1,5,3,YES,5,5,3
1,3,1,1,4,YES,59,3,5
2,4,1,5,4,YES,106,4,9
2,2,1,1,4,YES,109,5,9
1,4,3,1,2,NO,,,4
1,4,2,3,2,YES,78,3,3
4,1,3,4,2,YES,77,5,9
2,4,1,4,2,YES,92,3,3
1,1,5,4,4,NO,,,6
5,3,4,5,4,YES,31,5,9
3,3,1,1,3,NO,,,4
3,2,4,1,3,YES,75,5,10
5,4,4,3,1,YES,82,5,10
5,3,3,3,2,YES,82,3,6
4,4,5,5,3,NO,,,8
1,3,4,1,4,YES,61,5,9
4,5,1,5,4,NO,,,4
3,3,4,5,2,YES,87,3,6
2,5,1,5,2,YES,54,2,2
3,3,3,4,3,YES,63,4,8
2,5,5,2,5,YES,16,3,6
4,1,2,2,2,YES,73,2,4
4,3,4,5,5,YES,109,4,8
4,1,2,2,3,YES,115,4,10
1,1,5,4,4,YES,117,3,6
4,4,4,2,3,YES,106,3,6
3,2,4,5,5,YES,107,2,6
2,2,4,5,5,YES,24,3,6
2,2,3,5,4,YES,119,3,4
5,1,3,4,1,YES,11,3,6
1,5,2,5,3,YES,85,5,8
4,2,4,2,5,NO,,,8
3,2,1,4,1,NO,,,2
3,3,3,3,2,YES,44,3,4
5,3,2,4,2,YES,111,4,8
1,2,5,5,3,NO,,,6
2,4,3,4,4,YES,2,3,4
5,1,1,4,4,YES,91,4,10
4,3,4,1,1,YES,61,4,10
2,2,1,4,3,YES,29,3,2
5,5,2,1,5,NO,,,6
2,1,4,1,5,YES,84,5,9
5,5,1,4,4,NO,,,6
5,5,4,5,1,NO,,,6
1,4,2,4,3,YES,28,4,3
3,1,5,1,2,YES,70,4,10
1,1,4,1,2,YES,19,2,4
2,3,5,2,5,YES,4,5,6
2,4,4,1,3,YES,109,5,10
1,4,5,2,1,YES,91,4,10
3,4,4,2,2,YES,109,2,6
3,5,3,1,4,YES,56,3,6
5,1,4,2,4,YES,72,3,8
4,5,5,1,2,NO,,,8
4,3,2,2,3,YES,73,4,10
1,5,3,3,1,YES,90,4,9
3,4,4,4,1,YES,84,4,9
4,5,2,4,5,NO,,,6
1,1,3,4,4,YES,91,2,4
1,1,3,3,3,YES,45,3,5
3,3,4,1,5,NO,,,6
5,5,3,3,4,YES,96,3,8
5,2,2,3,5,YES,108,5,9
3,3,1,1,4,NO,,,4
5,4,4,5,3,NO,,,8
5,4,3,1,2,NO,,,6
4,5,3,3,5,YES,12,5,6
1,4,2,3,5,YES,90,4,10
3,5,1,4,2,NO,,,4
4,3,2,2,5,NO,,,6
1,1,2,5,1,NO,,,2
3,2,4,1,3,YES,34,3,6
4,5,3,1,2,YES,35,3,6
2,3,1,4,3,YES,11,5,2
2,3,3,4,4,NO,,,4
2,5,5,4,1,YES,88,5,10
3,3,3,1,4,NO,,,6
5,5,5,2,3,YES,26,3,8
4,5,4,4,4,NO,,,8
2,3,4,3,1,YES,17,2,4
4,2,1,2,5,YES,38,3,6
2,4,1,1,1,YES,102,4,9
4,4,3,2,5,YES,72,5,10
2,1,3,3,1,NO,,,4
5,2,5,4,5,NO,,,10
5,1,2,1,1,YES,82,2,6
2,1,4,1,1,YES,10,4,4
4,1,4,1,1,YES,27,5,6
5,1,4,2,1,YES,34,4,9
3,3,2,5,3,NO,,,4
2,4,4,1,1,NO,,,4
5,4,1,5,3,NO,,,6
2,3,4,5,4,YES,48,4,10
5,5,3,3,2,NO,,,6
5,2,1,1,4,NO,,,6
4,3,2,4,2,YES,69,5,9
4,3,1,1,4,YES,24,3,4
1,1,2,3,4,NO,,,4
4,1,1,1,5,YES,112,4,10
2,4,4,3,3,YES,5,5,6
4,5,2,4,5,NO,,,6
3,1,3,1,5,YES,62,5,8
5,4,3,3,5,NO,,,8
1,2,1,2,5,YES,87,3,2
4,2,1,1,1,YES,55,4,10
4,1,3,5,1,YES,95,2,6
1,1,2,1,3,YES,56,5,10
3,1,2,5,5,YES,64,4,10
1,5,2,2,5,YES,9,2,4
1,5,2,3,5,NO,,,4
4,4,5,4,1,YES,1,5,6
3,5,4,4,4,YES,32,4,10
2,4,5,4,4,YES,27,3,6
4,3,3,5,5,YES,23,3,6
3,3,2,4,3,YES,88,5,10
1,5,2,4,2,YES,1,3,3
3,1,1,2,4,YES,40,3,4
4,4,2,2,4,YES,83,4,10
3,4,5,1,4,YES,112,4,8
4,2,5,3,2,NO,,,8
2,2,5,1,3,YES,62,5,10
3,4,4,2,3,NO,,,6
2,3,5,4,2,YES,36,5,10
1,4,2,5,1,YES,58,5,10
2,2,1,2,2,YES,83,5,8
2,5,5,1,3,NO,,,6
4,3,4,4,1,YES,70,3,6
2,4,4,2,1,YES,71,2,5
1,1,4,2,5,YES,93,5,9
5,5,1,5,5,YES,90,4,8
5,1,3,1,1,YES,8,3,6
5,2,5,4,3,YES,116,3,8
5,5,5,3,1,YES,87,5,8
4,3,2,4,2,YES,13,4,4
3,3,4,1,4,YES,59,4,10
2,1,1,3,3,NO,,,2
2,1,5,1,4,YES,12,3,6
4,1,5,4,5,YES,1,2,8
3,5,5,3,3,YES,46,4,10
5,3,3,4,1,YES,83,4,8
2,3,1,1,5,YES,17,4,4
3,4,2,2,4,NO,,,4
2,3,2,5,4,NO,,,4
2,1,4,3,2,YES,93,5,8
5,5,2,3,2,YES,6,4,6
4,5,1,1,5,YES,102,3,6
1,4,4,5,4,YES,54,4,8
2,2,5,3,4,YES,20,2,6
3,5,5,2,4,YES,4,5,8
5,4,5,5,3,NO,,,8
4,1,2,2,5,YES,56,5,10
4,2,3,2,5,YES,113,4,10
3,2,3,4,5,YES,37,3,6
1,1,1,3,3,YES,40,2,3
3,1,5,5,3,NO,,,6
2,5,2,4,3,YES,17,5,4
1,5,2,1,3,YES,100,5,8
1,4,3,5,1,NO,,,2
3,2,5,4,1,YES,101,5,10
2,3,5,3,5,YES,59,3,6
3,3,2,1,3,NO,,,4
1,4,5,3,1,YES,11,3,4
3,2,3,1,2,YES,46,4,8
5,1,1,3,4,YES,55,2,6
5,3,2,4,1,NO,,,6
2,5,2,2,3,NO,,,4
5,2,3,3,1,NO,,,6
3,5,5,1,4,YES,65,4,9
5,4,2,4,3,YES,63,4,10
3,3,2,1,2,YES,110,3,4
5,1,1,3,3,NO,,,6
1,5,4,5,1,NO,,,4
5,4,4,5,4,YES,15,4,8
4,3,3,1,4,YES,86,4,8
3,3,5,1,1,YES,98,4,10
3,2,5,2,3,NO,,,6
1,3,2,1,1,YES,69,3,4
2,1,5,1,2,NO,,,6
1,1,2,5,2,YES,55,4,10
5,3,2,4,4,YES,81,5,9
4,5,4,2,3,NO,,,6
2,1,3,4,3,YES,117,5,10
2,5,3,4,5,NO,,,6
3,2,5,3,5,YES,68,2,8
4,3,5,3,5,YES,83,4,9
1,2,2,1,2,YES,72,5,10
3,5,4,5,3,NO,,,6
5,3,4,2,3,YES,30,3,8
5,1,2,5,3,YES,65,2,6
3,2,5,4,4,NO,,,8
3,3,3,5,3,YES,68,4,8
5,3,1,2,5,YES,52,2,6
4,3,1,4,5,YES,8,3,6
2,3,3,4,5,YES,34,5,8
5,5,3,3,5,YES,81,2,8
5,3,2,4,3,YES,30,3,6
1,1,1,1,5,YES,89,4,8
2,4,2,2,3,YES,48,3,5
3,2,4,1,4,YES,19,3,6
1,3,1,2,3,YES,103,3,4
3,3,3,2,1,YES,26,5,4
3,2,5,3,2,NO,,,6
4,3,2,5,3,YES,114,5,10
1,2,5,5,4,NO,,,6
3,4,2,4,5,YES,33,4,8
2,3,3,4,3,YES,11,2,4
1,5,4,1,3,YES,73,2,4
1,4,5,1,4,YES,105,3,6
3,3,5,2,3,YES,9,3,6
1,1,5,1,4,YES,75,5,9
3,3,1,1,4,YES,19,2,4
4,4,4,5,5,YES,41,4,9
2,3,4,2,2,YES,53,5,10
4,5,2,2,3,YES,79,3,6
5,4,3,3,2,YES,52,2,6
3,2,4,5,2,YES,89,2,6
5,3,4,3,4,YES,89,4,9
3,1,4,3,2,YES,43,4,8
3,5,3,4,4,YES,36,2,6
4,2,3,4,5,YES,117,5,8
1,5,1,4,3,NO,,,2
4,2,2,3,3,YES,1,4,6
5,3,3,1,2,YES,90,2,6
5,4,2,5,4,YES,106,2,6
5,2,3,3,1,YES,3,3,6
1,1,3,4,3,YES,84,2,4
2,5,3,4,4,YES,88,5,10
5,3,4,4,5,YES,21,2,8
1,1,3,1,5,YES,82,2,4
2,5,5,1,1,NO,,,6
5,4,1,5,5,NO,,,6
5,5,3,1,5,YES,22,2,8
1,1,5,3,1,YES,115,4,10
5,4,4,1,3,YES,43,3,8
2,5,3,3,2,NO,,,4
3,3,2,3,4,YES,103,2,4
3,3,4,1,2,YES,112,3,6
5,4,5,1,5,NO,,,10
5,5,2,5,4,YES,7,5,6
3,4,4,5,3,NO,,,6
1,3,2,1,2,YES,33,5,9
3,5,5,2,5,YES,83,2,8
3,5,5,1,3,YES,48,2,6
1,5,5,3,2,NO,,,4
1,4,4,3,4,NO,,,4
2,4,3,2,4,YES,46,4,9
3,2,1,2,4,NO,,,4
3,2,1,5,5,YES,110,5,8
1,5,4,5,2,YES,99,5,8
2,5,2,5,2,YES,36,3,5
5,5,3,4,1,YES,58,3,6
2,2,1,1,5,YES,114,5,8
1,1,4,1,1,YES,41,4,9
4,1,4,3,2,YES,103,5,8
5,1,4,5,4,YES,71,5,10
5,1,4,2,1,YES,48,5,8
3,3,2,4,1,YES,105,3,4
5,4,4,5,3,NO,,,8
1,3,3,2,4,NO,,,4
3,1,5,3,1,YES,5,2,6
3,5,5,3,5,YES,69,4,10
4,3,1,2,4,YES,67,5,8
4,2,5,2,1,NO,,,6
5,1,1,1,2,YES,15,3,4
5,3,1,4,3,YES,68,5,10
1,1,4,4,1,YES,83,4,10
2,4,5,4,3,YES,118,2,6
4,3,2,1,2,YES,65,2,5
4,1,5,3,5,YES,54,3,8
2,5,4,4,5,YES,95,4,8
2,5,4,5,5,NO,,,6
1,3,2,4,5,NO,,,4
2,5,2,2,5,YES,1,3,4
5,4,2,2,2,NO,,,6
1,3,5,3,4,YES,93,4,10
2,5,5,3,1,YES,69,5,10
2,3,1,2,2,NO,,,2
1,4,2,4,4,NO,,,4
3,2,2,1,5,NO,,,6
4,3,5,4,2,YES,42,4,8
2,3,1,2,4,YES,71,4,9
4,2,5,3,5,NO,,,8
4,5,4,4,1,YES,76,2,6
3,2,2,1,1,YES,65,3,4
2,5,3,4,1,YES,93,3,5
2,4,3,3,4,YES,61,4,10
3,5,1,2,2,YES,113,5,8
1,5,3,1,5,YES,74,3,5
4,3,4,3,2,YES,58,3,6
1,1,2,1,1,YES,22,2,2
2,1,5,1,4,YES,11,4,6
3,2,1,4,4,YES,1,2,4
1,2,1,3,5,YES,14,4,2
5,5,2,2,3,YES,49,4,10
1,2,1,1,2,YES,49,4,8
3,3,4,4,3,NO,,,6
1,5,3,5,3,YES,9,2,4
1,4,5,1,2,YES,47,2,5
5,4,4,1,1,YES,5,4,6
3,1,3,2,4,NO,,,6
3,4,2,4,4,NO,,,4
1,3,3,1,2,YES,34,3,4
1,2,4,5,1,YES,6,3,4
3,2,3,2,4,YES,102,2,6
2,2,4,2,5,NO,,,6
5,1,4,3,4,NO,,,8
2,5,5,4,5,YES,88,2,6
1,2,4,2,5,YES,71,5,10
1,3,4,2,4,NO,,,4
4,4,3,5,4,YES,3,3,6
5,1,5,5,2,YES,55,2,8
1,4,4,1,3,NO,,,4
2,2,4,4,1,NO,,,4
1,2,2,2,4,NO,,,4
3,2,5,4,2,YES,93,3,6
2,5,4,1,5,YES,30,5,6
3,3,1,1,1,YES,94,5,9
3,2,2,3,2,YES,61,5,10
1,5,4,4,5,YES,72,5,8
1,3,2,4,1,NO,,,2
5,1,5,1,3,YES,58,2,8
5,3,2,4,1,NO,,,6
1,4,4,1,3,YES,82,5,9
1,1,5,2,2,YES,8,4,4
3,3,3,3,4,YES,35,3,6
5,4,2,2,4,NO,,,6
3,1,5,4,1,NO,,,6
2,1,4,4,2,NO,,,4
3,4,1,1,4,YES,40,3,4
2,2,4,1,4,YES,16,5,6
3,5,2,2,4,YES,4,2,4
4,5,4,4,2,YES,49,3,6
4,5,4,1,2,YES,118,2,6
2,2,5,3,2,YES,100,2,6
1,4,4,5,5,YES,76,2,6
5,4,3,4,5,YES,25,3,8
1,1,5,1,1,NO,,,4
3,5,1,3,1,YES,113,4,9
1,3,1,1,5,YES,46,4,10
3,1,4,2,3,NO,,,6
1,5,5,5,1,NO,,,4
1,5,3,5,3,YES,56,5,10
5,4,2,5,4,YES,12,4,6
4,3,2,3,5,YES,108,2,6
3,2,4,1,1,YES,112,3,6
5,4,2,5,1,YES,79,2,6
5,2,2,1,3,YES,59,4,10
2,5,3,4,3,YES,57,3,4
1,2,2,3,4,YES,11,3,4
5,3,5,5,3,YES,23,4,8
4,5,5,5,2,NO,,,8
1,3,4,5,1,YES,86,3,5
2,1,2,4,4,YES,105,2,4
1,1,1,3,5,YES,113,4,8
3,5,3,3,5,NO,,,6
2,1,2,5,5,YES,41,2,5
4,3,4,2,3,NO,,,6
4,1,1,1,1,NO,,,4
4,3,3,5,3,YES,85,5,10
2,2,4,1,4,NO,,,6
4,5,3,3,1,YES,118,2,6
3,1,3,3,1,YES,89,3,5
3,5,3,3,1,YES,107,4,10
2,3,1,4,2,YES,24,5,2
2,5,5,1,3,YES,24,2,6
2,1,2,5,5,NO,,,4
4,5,5,5,4,YES,106,2,8
1,5,3,1,4,YES,35,4,9
1,3,1,1,4,YES,75,4,10
3,1,4,2,3,YES,15,3,6
4,4,4,3,1,NO,,,6
1,1,3,4,5,NO,,,4
3,1,2,1,1,NO,,,4
1,4,1,5,1,YES,40,2,3
2,4,4,2,3,YES,46,2,6
1,1,2,1,5,YES,35,5,8
4,2,5,5,1,YES,110,2,6
5,3,4,3,2,YES,9,4,8
1,3,4,2,5,YES,78,2,6
5,2,4,3,4,NO,,,8
3,4,5,5,2,YES,82,5,9
2,1,4,1,1,YES,94,3,4
3,2,5,3,3,YES,37,2,6
3,1,1,5,5,YES,5,2,4
1,1,5,3,1,YES,59,4,8
2,4,5,2,2,NO,,,6
1,3,3,3,1,YES,55,4,10
3,2,3,4,5,YES,101,4,8
3,1,3,4,5,NO,,,6
1,2,4,5,1,YES,45,3,4
5,4,2,1,1,YES,46,3,6
3,3,5,2,4,YES,74,2,8
4,3,1,5,1,YES,42,4,10
1,2,2,1,5,YES,77,5,10
5,3,5,3,4,NO,,,8
5,2,3,1,5,NO,,,8
2,5,4,2,2,YES,45,5,8
2,2,2,3,4,YES,96,3,4
1,4,5,1,4,YES,86,5,9
3,4,5,5,3,YES,28,4,6
3,2,1,4,4,YES,80,4,9
1,5,4,1,1,YES,3,3,4
1,3,3,2,5,YES,118,5,8
1,2,5,4,1,NO,,,4
5,1,2,3,3,YES,119,2,6
2,3,4,5,2,YES,41,3,4
3,4,3,1,3,YES,9,5,6
4,4,2,3,4,NO,,,6
3,4,1,5,2,NO,,,4
4,3,1,5,1,NO,,,4
4,2,2,5,5,YES,75,5,9
5,2,1,2,4,YES,91,3,6
2,5,3,4,3,NO,,,4
1,1,4,3,3,NO,,,4
